A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/1.html.
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/1.html applies to these and all data available from the Mission China air quality monitoring program.

Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,2010-01-01 00:00,2010,1,1,0,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 01:00,2010,1,1,1,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 02:00,2010,1,1,2,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 03:00,2010,1,1,3,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 04:00,2010,1,1,4,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 05:00,2010,1,1,5,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 06:00,2010,1,1,6,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 07:00,2010,1,1,7,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 08:00,2010,1,1,8,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 09:00,2010,1,1,9,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 10:00,2010,1,1,10,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 11:00,2010,1,1,11,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 12:00,2010,1,1,12,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 13:00,2010,1,1,13,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 14:00,2010,1,1,14,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 15:00,2010,1,1,15,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 16:00,2010,1,1,16,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 17:00,2010,1,1,17,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 18:00,2010,1,1,18,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 19:00,2010,1,1,19,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 20:00,2010,1,1,20,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 21:00,2010,1,1,21,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 22:00,2010,1,1,22,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2010-01-01 23:00,2010,1,1,23,129,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 00:00,2010,1,2,0,148,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 01:00,2010,1,2,1,159,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 02:00,2010,1,2,2,181,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 03:00,2010,1,2,3,138,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 04:00,2010,1,2,4,109,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 05:00,2010,1,2,5,105,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 06:00,2010,1,2,6,124,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 07:00,2010,1,2,7,120,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 08:00,2010,1,2,8,132,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 09:00,2010,1,2,9,140,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 10:00,2010,1,2,10,152,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 11:00,2010,1,2,11,148,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 12:00,2010,1,2,12,164,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 13:00,2010,1,2,13,158,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 14:00,2010,1,2,14,154,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 15:00,2010,1,2,15,159,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 16:00,2010,1,2,16,164,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 17:00,2010,1,2,17,170,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 18:00,2010,1,2,18,149,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 19:00,2010,1,2,19,154,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 20:00,2010,1,2,20,164,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 21:00,2010,1,2,21,156,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 22:00,2010,1,2,22,126,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-02 23:00,2010,1,2,23,90,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-03 00:00,2010,1,3,0,63,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-03 01:00,2010,1,3,1,65,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-03 02:00,2010,1,3,2,55,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-03 03:00,2010,1,3,3,65,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-03 04:00,2010,1,3,4,83,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-03 05:00,2010,1,3,5,91,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-03 06:00,2010,1,3,6,86,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-03 07:00,2010,1,3,7,82,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-03 08:00,2010,1,3,8,86,µg/m³,1 Hr,Valid
Beijing,PM2.5,2010-01-03 09:00,2010,1,3,9,78,µg/m³,1 Hr,Valid
