A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/1.html.
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/1.html applies to these and all data available from the Mission China air quality monitoring program.

Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,2014-01-01 00:00,2014,1,1,0,53,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 01:00,2014,1,1,1,65,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 02:00,2014,1,1,2,70,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 03:00,2014,1,1,3,79,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 04:00,2014,1,1,4,92,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 05:00,2014,1,1,5,106,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 06:00,2014,1,1,6,75,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 07:00,2014,1,1,7,58,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 08:00,2014,1,1,8,33,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 09:00,2014,1,1,9,51,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 10:00,2014,1,1,10,32,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 11:00,2014,1,1,11,23,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 12:00,2014,1,1,12,28,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 13:00,2014,1,1,13,23,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 14:00,2014,1,1,14,24,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 15:00,2014,1,1,15,26,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 16:00,2014,1,1,16,26,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 17:00,2014,1,1,17,27,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 18:00,2014,1,1,18,43,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 19:00,2014,1,1,19,62,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 20:00,2014,1,1,20,70,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 21:00,2014,1,1,21,81,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 22:00,2014,1,1,22,111,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-01 23:00,2014,1,1,23,144,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-02 00:00,2014,1,2,0,170,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-02 01:00,2014,1,2,1,174,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-02 02:00,2014,1,2,2,174,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-02 03:00,2014,1,2,3,172,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-02 04:00,2014,1,2,4,149,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-02 05:00,2014,1,2,5,166,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-02 06:00,2014,1,2,6,187,µg/m³,1 Hr,Valid
Beijing,PM2.5,2014-01-02 07:00,2014,1,2,7,107,µg/m³,1 Hr,Valid
