A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/1.html.
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/1.html applies to these and all data available from the Mission China air quality monitoring program.

Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,2011-01-01 00:00,2011,1,1,0,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 01:00,2011,1,1,1,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 02:00,2011,1,1,2,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 03:00,2011,1,1,3,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 04:00,2011,1,1,4,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 05:00,2011,1,1,5,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 06:00,2011,1,1,6,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 07:00,2011,1,1,7,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 08:00,2011,1,1,8,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 09:00,2011,1,1,9,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 10:00,2011,1,1,10,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 11:00,2011,1,1,11,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 12:00,2011,1,1,12,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 13:00,2011,1,1,13,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 14:00,2011,1,1,14,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 15:00,2011,1,1,15,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 16:00,2011,1,1,16,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 17:00,2011,1,1,17,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 18:00,2011,1,1,18,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 19:00,2011,1,1,19,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 20:00,2011,1,1,20,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 21:00,2011,1,1,21,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 22:00,2011,1,1,22,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2011-01-01 23:00,2011,1,1,23,36,µg/m³,1 Hr,Valid
Beijing,PM2.5,2011-01-02 00:00,2011,1,2,0,31,µg/m³,1 Hr,Valid
Beijing,PM2.5,2011-01-02 01:00,2011,1,2,1,20,µg/m³,1 Hr,Valid
Beijing,PM2.5,2011-01-02 02:00,2011,1,2,2,19,µg/m³,1 Hr,Valid
Beijing,PM2.5,2011-01-02 03:00,2011,1,2,3,18,µg/m³,1 Hr,Valid
Beijing,PM2.5,2011-01-02 04:00,2011,1,2,4,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,2011-01-02 05:00,2011,1,2,5,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,2011-01-02 06:00,2011,1,2,6,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,2011-01-02 07:00,2011,1,2,7,22,µg/m³,1 Hr,Valid
Beijing,PM2.5,2011-01-02 08:00,2011,1,2,8,22,µg/m³,1 Hr,Valid
Beijing,PM2.5,2011-01-02 09:00,2011,1,2,9,25,µg/m³,1 Hr,Valid
Beijing,PM2.5,2011-01-02 10:00,2011,1,2,10,24,µg/m³,1 Hr,Valid
Beijing,PM2.5,2011-01-02 11:00,2011,1,2,11,31,µg/m³,1 Hr,Valid
Beijing,PM2.5,2011-01-02 12:00,2011,1,2,12,37,µg/m³,1 Hr,Valid
Beijing,PM2.5,2011-01-02 13:00,2011,1,2,13,35,µg/m³,1 Hr,Valid
Beijing,PM2.5,2011-01-02 14:00,2011,1,2,14,32,µg/m³,1 Hr,Valid
Beijing,PM2.5,2011-01-02 15:00,2011,1,2,15,37,µg/m³,1 Hr,Valid
